Zona,Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1273.493,1227.92,541.9083,1172.0489,1198.6386,5343.5228,5844.0331
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,190.904,190.254,338.4169,195.7582,168.8119,1230.558,922.786
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1705.578,1807.036,3235.0884,3520.9258,1659.0203,16488.2255,8336.3115
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,2974.627,2939.807,3441.5759,5276.6873,2473.102,23180.4183,12733.6369
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1218.26,1199.806,1712.3836,655.683,1034.5111,3268.3758,3693.6991
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,6918.914,6820.77,7208.2814,7369.9562,6905.5365,31602.2086,30457.2727
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,20017.217,19671.578,20416.05531,22832.8852,20318.9858,98605.8084,98371.6399
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1398.148,1352.331,690.3739,1286.3482,1484.2999,5536.0165,6718.8039
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,169.788,168.255,334.7184,168.5475,186.248,1092.9193,904.5577
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,4.948,4.95,39.6275,1.5851,7.9253,22.1914,24.3044
